batch_size,seq_len,attn_linear_ms_mean,attn_linear_ms_std,attention_ms_mean,attention_ms_std,mlp_linear_ms_mean,mlp_linear_ms_std,other_ms_mean,other_ms_std,linear_total_ms,total_ms,linear_pct,attention_pct,other_pct,time_sec,transferable_gb,transferable_mb,transferable_tokens_kv,bandwidth_gbps,timestamp
1,128,0.1766080000996589,0.0273098330944776,0.1334124802052974,0.0245871022343635,0.3013696002960205,0.0026465707924216,0.180572800040245,0.0066797081381082,0.4779776003956795,0.791962880641222,60.353535762772026,16.845799653801766,22.800664583426205,0.000791962880641222,0.011734421686138344,12.016047806605664,96.12838245284532,14.81688343352334,20260126_191629
2,128,0.1900659199059009,0.0287412852048873,0.133994879424572,0.0266586747020483,0.3071071988344192,0.0027150309178978,0.1808729594945907,0.0054268958047032,0.4971731187403202,0.8120409576594829,61.22512836954737,16.5010001232919,22.273871507160734,0.000812040957659483,0.012031916212887222,12.320682201996515,98.56545761597212,14.81688343352334,20260126_191629
4,128,0.1969651195406913,0.0123039977625012,0.1391500797867775,0.0131686879321932,0.3114880001544952,0.0167155005037784,0.188971519768238,0.0157561264932155,0.5084531196951866,0.8365747192502022,60.77796854187734,16.63331159606325,22.5887198620594,0.0008365747192502022,0.012395430098562761,12.692920420928267,101.54336336742614,14.81688343352334,20260126_191629
8,128,0.1877696003019809,0.0033144077751785,0.1265888004004955,0.0010526655241847,0.2969196802377701,0.0010569558944553,0.1735814397037029,0.0032805467490106,0.4846892805397511,0.7848595206439495,61.75490871819719,16.12884816592833,22.11624311587448,0.0007848595206439494,0.011629172029072404,11.908272157770142,95.26617726216114,14.81688343352334,20260126_191629
16,128,0.1847884795814752,0.004722180776298,0.1025708799064159,0.0075212535448372,0.3006707191467285,0.0021591950207948,0.1785779203474521,0.0046912054531276,0.4854591987282037,0.7666079989820719,63.32561092146351,13.379834288529866,23.294554790006625,0.0007666079989820719,0.011358741360123938,11.631351152766912,93.0508092221353,14.81688343352334,20260126_191629
32,128,0.1498848007619381,0.0048851491883397,0.1039468801021576,0.000596412923187,0.2927065593004226,0.0013318916317075,0.1359833599627018,0.0080223139375448,0.4425913600623608,0.6825216001272202,64.84649862800869,15.229830101022763,19.923671270968548,0.0006825216001272202,0.01011284298994685,10.355551221705575,82.8444097736446,14.81688343352334,20260126_191629
64,128,0.1480153592303395,0.0046585532836616,0.1660639998316765,0.0009128732490353,0.2640371197462082,0.0012377060484141,0.1281702405959367,0.0030383705161511,0.4120524789765477,0.706286719404161,58.34068058424831,23.51226425038428,18.1470551653674,0.000706286719404161,0.010464967992057062,10.716127223866431,85.72901779093145,14.81688343352334,20260126_191629
1,1024,0.1774489599466323,0.0083967950195074,0.1315212792158127,0.0090103140100836,0.3035366380214691,0.0847756490111351,0.1815084800124168,0.0083187734708189,0.4809855979681015,0.794015357196331,60.57635958912207,16.56407247338571,22.859567937492223,0.000794015357196331,0.011764832992005436,12.047188983813566,96.37751187050853,14.81688343352334,20260126_191629
2,1024,0.1892735997587442,0.0288245789706707,0.1119667199254036,0.0083822347223758,0.2844345605373382,0.0028062195051461,0.1805222395062446,0.0078493924811482,0.4737081602960825,0.7661971197277307,61.825886328627206,14.61330472831732,23.56080894305548,0.0007661971197277307,0.011352653410107112,11.625117091949683,93.00093673559746,14.81688343352334,20260126_191629
4,1024,0.1508902403339743,0.0048471819609403,0.0988800001144409,0.0003010212094523,0.2885094392299652,0.0021965117193758,0.1620652809739113,0.0094182416796684,0.4393996795639395,0.7003449606522917,62.7404642356088,14.11875656567093,23.140779198720285,0.0007003449606522916,0.010376929645240496,10.625975956726268,85.00780765381015,14.81688343352334,20260126_191629
8,1024,0.1513228800147771,0.0058299982920289,0.1661593607068061,0.0231960732489824,0.2600255978107452,0.0167107172310352,0.1226310401782393,0.0043842364102602,0.4113484778255224,0.700138878710568,58.75241189049447,23.732343076393445,17.515245033112077,0.0007001388787105681,0.010373876153132223,10.622849180807396,84.98279344645917,14.81688343352334,20260126_191629
16,1024,0.1528083195909857,0.0041225608438253,0.2785811191797256,0.0177120771259069,0.2677407997846603,0.0263914614915847,0.1281606408953666,0.003193398239091,0.4205491193756461,0.8272908794507385,50.83449241636273,33.67390190070552,15.49160568293175,0.0008272908794507385,0.012257872526438602,12.552061467073129,100.41649173658503,14.81688343352334,20260126_191629
32,1024,0.1485849601030349,0.004464229568839,0.4989350402355194,0.0009471373050473,0.2569305568933487,0.0011990183265879,0.1294809608161449,0.0032784244976937,0.4055155169963836,1.033931518048048,39.22073270016505,48.25610125295874,12.523166046876211,0.001033931518048048,0.01531964278116376,15.68731420791169,125.49851366329352,14.81688343352334,20260126_191629
64,1024,0.1621107199043035,0.0374237261712551,0.9557638382911682,0.0244871005415916,0.2676032000780106,0.0265984572470188,0.1411193596571683,0.0426448471844196,0.4297139199823141,1.5265971179306508,28.14848232943113,62.60747037088184,9.24404729968703,0.0015265971179306507,0.022619411546331136,23.162277423443083,185.29821938754466,14.81688343352334,20260126_191629
1,2056,0.1733529601991176,0.0057487273588776,0.1080224002897739,0.008398488163948,0.2835872000455856,0.0025109867565333,0.1810067194700241,0.0092047406360507,0.4569401602447033,0.7459692800045014,61.25455464358345,14.480810830322946,24.264634526093605,0.0007459692800045013,0.01105293986681603,11.318210423619615,90.54568338895692,14.81688343352334,20260126_191629
2,2056,0.1549510400369763,0.0061903707683086,0.1097222393751144,0.0004610889300238,0.2852172803878784,0.0026044235564768,0.1669503995776176,0.0119529357179999,0.4401683204248547,0.7168409593775869,61.40390203247325,15.306357419975448,23.289740547551308,0.0007168409593775869,0.010621348935472745,10.876261309924091,87.01009047939273,14.81688343352334,20260126_191629
4,2056,0.1532614401355385,0.0065831686370074,0.1587827202677726,0.0004509287246037,0.2542848008871078,0.0006643855595029,0.1215641598775982,0.0044118361547589,0.4075462410226464,0.6878931211680175,59.2455758724041,23.082469555468936,17.671954572126957,0.0006878931211680175,0.010192432191069063,10.43705056365472,83.49640450923776,14.81688343352334,20260126_191629
8,2056,0.1568467201292515,0.0083505809307098,0.2786214405298233,0.0004835288855247,0.2588243186473846,0.0007034303271211,0.1326150403171777,0.0270651001483201,0.4156710387766361,0.8269075196236372,50.26814110552855,33.694389507624315,16.037469386847135,0.0008269075196236372,0.012252192328567347,12.546244944452964,100.36995955562371,14.81688343352334,20260126_191629
16,2056,0.1641145595535636,0.0259913858026266,0.506394875049591,0.0046322201378643,0.2637849575281143,0.0008750227279961,0.1355526403337717,0.007320758420974,0.4278995170816779,1.0698470324650406,39.99632696047698,47.33339063275277,12.670282406770257,0.0010698470324650407,0.01585179877173537,16.23224194225702,129.85793553805615,14.81688343352334,20260126_191629
32,2056,0.156177920140326,0.0227601211518049,0.9378828847408296,0.018449567258358,0.2572217607498169,0.0010802458273246,0.1394931202381849,0.0232480596750974,0.4133996808901429,1.4907756858691572,27.730508674691805,62.912408193323984,9.357083131984218,0.0014907756858691572,0.022088649563054112,22.61877715256741,180.9502172205393,14.81688343352334,20260126_191629
64,2056,0.1559993600845337,0.0086967330425977,1.808842875957489,0.0012380145490169,0.2635769593715668,0.0010722173610702,0.136897280216217,0.0056717628613114,0.4195763194561004,2.365316475629806,17.738696862726623,76.47360911718391,5.787694020089459,0.002365316475629806,0.03504661850279909,35.88773734686627,287.10189877493013,14.81688343352334,20260126_191629
1,4096,0.1383033604547381,0.0017184620955958,0.104550399929285,0.0003778557584155,0.2878816002607345,0.0251475535333156,0.1665958403050899,0.0063118203543126,0.4261849607154727,0.6973312009498478,61.11657704903471,14.99293302621122,23.89048992475407,0.0006973312009498478,0.010332275119032735,10.58024972188952,84.64199777511617,14.81688343352334,20260126_191629
2,4096,0.1523616000264883,0.006311128847301,0.1805004811286926,0.0006105822394602,0.4042201632261276,1.0786312818527222,0.1214259198307991,0.0047394931316375,0.556581763252616,0.8585081642121076,64.83127201980852,21.024899779997572,14.143828200193909,0.0008585081642121076,0.012720415395858912,13.025705365359526,104.20564292287621,14.81688343352334,20260126_191629
4,4096,0.1535263995453715,0.00370769854635,0.2735827207565308,0.0006993000861257,0.2548415994644165,0.0010775796836242,0.1223001598194241,0.0030973821412771,0.408367999009788,0.804250879585743,50.77619551005427,34.01708691912764,15.20671757081808,0.0008042508795857431,0.011916491534130571,12.202487330949705,97.61989864759764,14.81688343352334,20260126_191629
8,4096,0.1599040001258254,0.0091044688597321,0.5042809581756592,0.0007434767321683,0.2576051193475723,0.0007572972099296,0.134362239986658,0.0257690418511629,0.4175091194733977,1.056152317635715,39.53114645508961,47.74699158020447,12.72186196470592,0.0010561523176357151,0.01564888577845391,16.024459037136804,128.19567229709443,14.81688343352334,20260126_191629
16,4096,0.1550892799720168,0.0066883936524391,0.9547558391094207,0.0014870362356305,0.2652595192193985,0.0008218372822739,0.1318195193260908,0.0046797893010079,0.4203487991914153,1.5069241576269268,27.894489385144105,63.35792244600755,8.747588168848358,0.0015069241576269267,0.022327919586718526,22.86378965679977,182.91031725439817,14.81688343352334,20260126_191629
32,4096,0.1544595196470618,0.0277646295726299,1.8074470329284669,0.0041354103013873,0.2573152005672455,0.0011930877808481,0.1322668799757957,0.0040005813352763,0.4117747202143073,2.3514886331185703,17.51123583651804,76.86394939240725,5.624814771074694,0.0023514886331185703,0.03484173297217299,35.67793456350514,285.4234765080411,14.81688343352334,20260126_191629
64,4096,0.1528838400915265,0.007301365956664,3.5787500858306887,0.0256569217890501,0.2624095994234085,0.001021658652462,0.1364767999202013,0.005551578477025,0.415293439514935,4.130520325265826,10.05426451903994,86.64162875412973,3.3041067268303093,0.004130520325265826,0.06120143817926266,62.67027269556496,501.3621815645197,14.81688343352334,20260126_191629
